"n","n_mod_13","n_mod_64","S_n_cyclic","T_n_2_s","T_bits","T_bits_2_T_n","n__6_bits","real_n","n_x","n_y","n_z","f_n","real_f_n","p_n","real_p_n","log(p_n)","a","b","c","test_prime",,"state","p_n","p_n=floor(a*n+b*f_n+c*p₀)+S_n+T_n","symbol_x","symbol_y","symbol_z","label_x","label_y","label_z","zeta_alpha","zeta_beta","zeta_gamma","S₀","S₁","S₂","R","G","B","H","S","V","LightFrec","SoundFreq","Energy","C₀","C₁","C₂","Midi₀","Midi₁","Midi_param_n"
42,3,42,11,8,"1000","8","101010",0.953488372093023,101010.953488372,9.43945521910933E-06,9.43945521910933E-06,267914296,0.99999990295404500000,223,0.889830508474576,2.34830486304816,0,0.00000071291455085323,1,223,2,"success",223,,,,,,,,,,,,,,,,,,,,,,,"Sound₁",,,,,
43,4,43,6,2,"10","2","101011",0.954545454545455,101011.954545455,9.44982659568197E-06,9.44982659568197E-06,433494437,0.99999994002230000000,227,0.891666666666667,2.35602585719312,1,0.00000040600290333138,0,227,6,"success",227,,,,,,,,,,,,,,,,,,,,,,,"Sound₂",,,,,
44,5,44,1,4,"100","4","101100",0.955555555555556,101100.955555556,9.45149875492989E-06,9.45149875492989E-06,701408733,0.99999996293174300000,229,0.892561983471074,2.35983548233989,0,0.00000030082317210043,1,229,8,"success",229,,,,,,,,,,,,,,,,,,,,,,,"Sound₁",,,,,
45,6,45,9,15,"1111","F","101101",0.956521739130435,101101.956521739,9.46096170675749E-06,9.46096170675749E-06,1134903170,0.99999997709055700000,233,0.894308943089431,2.36735592102602,1,0.00000014450572025453,0,233,12,"success",233,,,,,,,,,,,,,,,,,,,,,,,"Sound₂",,,,,
46,7,46,4,3,"11","3","101110",0.957446808510638,101110.957446809,9.46926854109084E-06,9.46926854109084E-06,1836311903,0.99999998584118500000,239,0.896825396825397,2.37839790094814,0,0.00000011926078551374,1,239,5,"success",239,,,,,,,,,,,,,,,,,,,,,,,"Sound₁",,,,,
47,8,47,12,4,"100","4","101111",0.958333333333333,101111.958333333,9.47794256119557E-06,9.47794256119557E-06,2971215073,0.99999999124937100000,241,0.89763779527559,2.38201704257487,1,0.00000005990815058039,0,241,7,"success",241,,,,,,,,,,,,,,,,,,,,,,,"Sound₂",,,,,
48,9,48,7,14,"1110","E","110000",0.959183673469388,110000.959183673,8.71977554184592E-06,8.71977554184592E-06,4807526976,0.99999999459181400000,251,0.901515151515151,2.39967372148104,0,0.00000004513755223492,1,251,4,"success",251,,,,,,,,,,,,,,,,,,,,,,,"Sound₁",,,,,
49,10,49,2,8,"1000","8","110001",0.96,110001.96,8.72711722591125E-06,8.72711722591125E-06,7778742049,0.99999999665755700000,257,0.903703703703704,2.40993312333129,1,0.00000002545398712964,0,257,10,"success",257,,,,,,,,,,,,,,,,,,,,,,,"Sound₂",,,,,
50,11,50,10,1,"1","1","110010",0.96078431372549,110010.960784314,8.73353261234754E-06,8.73353261234754E-06,12586269025,0.99999999793425700000,263,0.905797101449275,2.41995574848976,0,0.00000001898894736202,1,263,3,"success",263,,,,,,,,,,,,,,,,,,,,,,,"Sound₁",,,,,
51,12,51,5,9,"1001","9","110011",0.961538461538462,110011.961538462,8.74030830913142E-06,8.74030830913142E-06,20365011074,0.99999999872330000000,269,0.907801418439716,2.42975228000241,1,0.00000001001718090203,0,269,9,"success",269,,,,,,,,,,,,,,,,,,,,,,,"Sound₂",,,,,
52,0,52,0,0,"0","0","110100",0.962264150943396,110100.962264151,8.73983415907629E-06,8.73983415907629E-06,32951280099,0.99999999921095600000,271,0.908450704225352,2.43296929087441,0,0.00000000782974134009,1,271,11,"success",271,,,,,,,,,,,,,,,,,,,,,,,"Sound₁",,,,,
53,1,53,8,9,"1001","9","110101",0.962962962962963,110101.962962963,8.74610167746866E-06,8.74610167746866E-06,53316291173,0.99999999951234400000,277,0.910344827586207,2.44247976906445,1,0.00000000388249061302,0,277,4,"success",277,,,,,,,,,,,,,,,,,,,,,,,"Sound₂",,,,,
54,2,54,3,1,"1","1","110110",0.963636363636364,110110.963636364,8.75150241004818E-06,8.75150241004818E-06,86267571272,0.99999999969861200000,281,0.91156462585034,2.44870631990508,0,0.00000000306024611691,1,281,8,"success",281,,,,,,,,,,,,,,,,,,,,,,,"Sound₁",,,,,
55,3,55,11,8,"1000","8","110111",0.964285714285714,110111.964285714,8.75732006545286E-06,8.75732006545286E-06,139583862445,0.99999999981373200000,283,0.912162162162162,2.45178643552429,1,0.00000000149730775707,0,283,10,"success",283,,,,,,,,,,,,,,,,,,,,,,,"Sound₂",,,,,
56,4,56,6,2,"10","2","111000",0.964912280701754,111000.964912281,8.69282786383238E-06,8.69282786383238E-06,225851433717,0.99999999988488000000,293,0.915032679738562,2.46686762035411,0,0.00000000120433151795,1,293,7,"success",293,,,,,,,,,,,,,,,,,,,,,,,"Sound₁",,,,,
57,5,57,1,4,"100","4","111001",0.96551724137931,111001.965517241,8.69819950376772E-06,8.69819950376772E-06,365435296162,0.99999999992885200000,307,0.91875,2.48713837547719,1,0.00000000067043332314,0,307,8,"success",307,,,,,,,,,,,,,,,,,,,,,,,"Sound₂",,,,,
58,6,58,9,15,"1111","F","111010",0.966101694915254,111010.966101695,8.70275909526116E-06,8.70275909526116E-06,591286729879,0.99999999995602800000,311,0.919753086419753,2.49276038902684,0,0.00000000046339615986,1,311,12,"success",311,,,,,,,,,,,,,,,,,,,,,,,"Sound₁",,,,,
59,7,59,4,3,"11","3","111011",0.966666666666667,111011.966666667,8.70776994312025E-06,8.70776994312025E-06,956722026041,0.99999999997282400000,313,0.920245398773006,2.49554433754645,1,0.00000000025817321362,0,313,1,"success",313,,,,,,,,,,,,,,,,,,,,,,,"Sound₂",,,,,
60,8,60,12,4,"100","4","111100",0.967213114754098,111100.967213115,8.70571282155251E-06,8.70571282155251E-06,1548008755920,0.99999999998320400000,317,0.921212121212121,2.50105926221775,0,0.00000000018604545930,1,317,5,"success",317,,,,,,,,,,,,,,,,,,,,,,,"Sound₁",,,,,
61,9,61,7,14,"1110","E","111101",0.967741935483871,111101.967741935,8.7103942005034E-06,8.7103942005034E-06,2504730781961,0.99999999998962000000,331,0.924418604651163,2.51982799377572,1,0.00000000009941188163,0,331,6,"success",331,,,,,,,,,,,,,,,,,,,,,,,"Sound₂",,,,,
62,10,62,2,8,"1000","8","111110",0.968253968253968,111110.968253968,8.71429691838175E-06,8.71429691838175E-06,4052739537881,0.99999999999358500000,337,0.925714285714286,2.52762990087134,0,0.00000000007747845552,1,337,12,"success",337,,,,,,,,,,,,,,,,,,,,,,,"Sound₁",,,,,
63,11,63,10,1,"1","1","111111",0.96875,111111.96875,8.71868270266789E-06,8.71868270266789E-06,6557470319842,0.99999999999603500000,347,0.927777777777778,2.54032947479087,1,0.00000000004163190784,0,347,9,"success",347,,,,,,,,,,,,,,,,,,,,,,,"Sound₂",,,,,
64,12,0,5,9,"1001","9","1000000",0.969230769230769,1000000.96923077,9.69229829823396E-07,9.69229829823396E-07,10610209857723,0.99999999999755000000,349,0.92817679558011,2.54282542695918,0,0.00000000003034812735,1,349,11,"success",349,,,,,,,,,,,,,,,,,,,,,,,"Sound₁",,,,,
65,0,1,0,0,"0","0","1000001",0.96969696969697,1000001.96969697,9.69695059691549E-07,9.69695059691549E-07,17167680177565,0.99999999999848600000,353,0.92896174863388,2.54777470538782,1,0.00000000001677570860,0,353,2,"success",353,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,1,2,8,9,"1001","9","1000010",0.970149253731343,1000010.97014925,9.70138611165982E-07,9.70138611165982E-07,27777890035288,0.99999999999906400000,359,0.93010752688172,2.55509444857832,0,0.00000000001184395214,1,359,8,"success",359,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,2,3,3,1,"1","1","1000011",0.970588235294118,1000011.97058824,9.70576616921086E-07,9.70576616921086E-07,44945570212853,0.99999999999942100000,367,0.931578947368421,2.56466606425209,1,0.00000000000658574357,0,367,3,"success",367,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,3,4,11,8,"1000","8","1000100",0.971014492753623,1000100.97101449,9.70916458333837E-07,9.70916458333837E-07,72723460248141,0.99999999999964200000,373,0.932642487046632,2.57170883180869,0,0.00000000000468899580,1,373,9,"success",373,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,4,5,6,2,"10","2","1000101",0.971428571428571,1000101.97142857,9.71329523569439E-07,9.71329523569439E-07,117669030460994,0.99999999999977900000,379,0.933673469387755,2.57863920996807,1,0.00000000000256652068,0,379,2,"success",379,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,5,6,1,4,"100","4","1000110",0.971830985915493,1000110.97183099,9.71723152018102E-07,9.71723152018102E-07,190392490709135,0.99999999999986300000,383,0.934343434343434,2.58319877396862,0,0.00000000000191709242,1,383,6,"success",383,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,6,7,9,15,"1111","F","1000111",0.972222222222222,1000111.97222222,9.72113372527648E-07,9.72113372527648E-07,308061521170129,0.99999999999991600000,389,0.935323383084577,2.58994960132571,1,0.00000000000095435483,0,389,12,"success",389,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,7,8,4,3,"11","3","1001000",0.972602739726027,1001000.97260274,9.71630164551316E-07,9.71630164551316E-07,498454011879264,0.99999999999994800000,397,0.936585365853659,2.59879050676312,0,0.00000000000075633858,1,397,7,"success",397,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,8,9,12,4,"100","4","1001001",0.972972972972973,1001001.97297297,9.71999056188917E-07,9.71999056188917E-07,806515533049393,0.99999999999996800000,401,0.93719806763285,2.60314437262018,1,0.00000000000038684934,0,401,11,"success",401,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,9,10,7,14,"1110","E","1001010",0.973333333333333,1001010.97333333,9.72350313096135E-07,9.72350313096135E-07,1304969544928657,0.99999999999998000000,409,0.938388625592417,2.61172330800734,0,0.00000000000028736303,1,409,6,"success",409,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,10,11,2,8,"1000","8","1001011",0.973684210526316,1001011.97368421,9.72699863861453E-07,9.72699863861453E-07,2111485077978050,0.99999999999998800000,419,0.939814814814815,2.6222140229663,1,0.00000000000015818251,0,419,3,"success",419,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,11,12,10,1,"1","1","1001100",0.974025974025974,1001100.97402597,9.72954776089053E-07,9.72954776089053E-07,3416454622906707,0.99999999999999200000,421,0.940092165898617,2.62428209583567,0,0.00000000000011620233,1,421,5,"success",421,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,12,13,5,9,"1001","9","1001101",0.974358974358974,1001101.97435897,9.73286437660735E-07,9.73286437660735E-07,5527939700884757,0.99999999999999500000,431,0.941441441441441,2.63447727016073,1,0.00000000000006150574,0,431,2,"success",431,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,0,14,0,0,"0","0","1001110",0.974683544303797,1001110.97468354,9.73601897244109E-07,9.73601897244109E-07,8944394323791464,0.99999999999999700000,433,0.941704035874439,2.63648789635336,0,0.00000000000004695678,1,433,4,"success",433,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,1,15,8,9,"1001","9","1001111",0.975,1001111.975,9.73917028612109E-07,9.73917028612109E-07,1.44723340246762E+016,0.99999999999999800000,439,0.942477876106195,2.64246452024212,1,0.00000000000002370039,0,439,10,"success",439,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,2,16,3,1,"1","1","1010000",0.975308641975309,1010000.97530864,9.65651188284514E-07,9.65651188284514E-07,2.34167283484677E+016,0.99999999999999900000,443,0.942982456140351,2.64640372622307,0,0.00000000000001819212,1,443,1,"success",443,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,3,17,11,8,"1000","8","1010001",0.975609756097561,1010001.97560976,9.65948364119356E-07,9.65948364119356E-07,3.78890623731439E+016,0.99999999999999900000,449,0.943722943722944,2.65224634100332,1,0.00000000000000921110,0,449,7,"success",449,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,4,18,6,2,"10","2","1010010",0.975903614457831,1010010.97590361,9.66230702180966E-07,9.66230702180966E-07,6.13057907216116E+016,1.00000000000000000000,457,0.94468085106383,2.65991620006985,0,0.00000000000000711189,1,457,2,"success",457,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,5,19,1,4,"100","4","1010011",0.976190476190476,1010011.97619048,9.66513763403513E-07,9.66513763403513E-07,9.91948530947555E+016,1.00000000000000000000,461,0.945147679324895,2.66370092538965,1,0.00000000000000376028,0,461,6,"success",461,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,6,20,9,15,"1111","F","1010100",0.976470588235294,1010100.97647059,9.66705914538562E-07,9.66705914538562E-07,1.60500643816367E+017,1.00000000000000000000,463,0.945378151260504,2.66558099101795,0,0.00000000000000265419,1,463,8,"success",463,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,7,21,4,3,"11","3","1010101",0.976744186046512,1010101.97674419,9.66975818812676E-07,9.66975818812676E-07,2.59695496911123E+017,1.00000000000000000000,467,0.945833333333333,2.66931688056611,1,0.00000000000000144400,0,467,12,"success",467,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,8,22,12,4,"100","4","1010110",0.977011494252874,1010110.97701149,9.67231835400355E-07,9.67231835400355E-07,4.2019614072749E+017,1.00000000000000000000,479,0.947154471544715,2.68033551341456,0,0.00000000000000107093,1,479,11,"success",479,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,9,23,7,14,"1110","E","1010111",0.977272727272727,1010111.97727273,9.67489495482803E-07,9.67489495482803E-07,6.79891637638612E+017,1.00000000000000000000,487,0.948,2.68752896121463,1,0.00000000000000055744,0,487,6,"success",487,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,10,24,2,8,"1000","8","1011000",0.97752808988764,1011000.97752809,9.66891339984368E-07,9.66891339984368E-07,1.1000877783661E+018,1.00000000000000000000,491,0.948412698412698,2.69108149212297,0,0.00000000000000042542,1,491,10,"success",491,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,11,25,10,1,"1","1","1011001",0.977777777777778,1011001.97777778,9.67137354099912E-07,9.67137354099912E-07,1.77997941600471E+018,1.00000000000000000000,499,0.94921875,2.69810054562339,1,0.00000000000000022416,0,499,5,"success",499,,,,,,,,,,,,,,,,,,,,,,,,,,,,
